Time,Global Mean Sea Level
3/15/1953,-57.8
4/15/1953,-55.8
5/15/1953,-52.5
6/15/1953,-49.9
7/15/1953,-52.4
8/15/1953,-55
9/15/1953,-57.6
10/15/1953,-59.8
11/15/1953,-60.5
12/15/1953,-61.2
1/15/1954,-59
2/15/1954,-57.6
3/15/1954,-56.9
4/15/1954,-59.2
5/15/1954,-58.9
6/15/1954,-61.8
7/15/1954,-64.4
8/15/1954,-65.2
9/15/1954,-62.9
10/15/1954,-58
11/15/1954,-52.8
12/15/1954,-50.5
1/15/1955,-48.8
2/15/1955,-49.1
3/15/1955,-52.4
4/15/1955,-56.5
5/15/1955,-61.2
6/15/1955,-64.2
7/15/1955,-66.3
8/15/1955,-63.1
9/15/1955,-62
10/15/1955,-57.5
11/15/1955,-57
12/15/1955,-57.6
1/15/1956,-58.6
2/15/1956,-62.2
3/15/1956,-61.4
4/15/1956,-58.5
5/15/1956,-58.5
6/15/1956,-60
7/15/1956,-64.9
8/15/1956,-66.1
9/15/1956,-66.8
10/15/1956,-67.2
11/15/1956,-67.3
12/15/1956,-65.9
1/15/1957,-61.3
2/15/1957,-53.1
3/15/1957,-48.9
4/15/1957,-47.2
5/15/1957,-45.5
6/15/1957,-45.4
7/15/1957,-45.7
8/15/1957,-48.8
9/15/1957,-49.6
10/15/1957,-50.7
11/15/1957,-49.5
12/15/1957,-50.5
1/15/1958,-48.5
2/15/1958,-49
3/15/1958,-48.9
4/15/1958,-51.4
5/15/1958,-50.9
6/15/1958,-51
7/15/1958,-49.8
8/15/1958,-49.2
9/15/1958,-47.9
10/15/1958,-45.6
11/15/1958,-44.2
12/15/1958,-43.3
1/15/1959,-45.4
2/15/1959,-48.7
3/15/1959,-50.8
4/15/1959,-50.1
5/15/1959,-49.7
6/15/1959,-48.3
7/15/1959,-48
8/15/1959,-45.6
9/15/1959,-46.6
10/15/1959,-45
11/15/1959,-49.4
12/15/1959,-48.6
1/15/1960,-48.9
2/15/1960,-44.9
3/15/1960,-45.1
4/15/1960,-43.1
5/15/1960,-42.5
6/15/1960,-42.9
7/15/1960,-44.1
8/15/1960,-44.9
9/15/1960,-45.4
10/15/1960,-44.7
11/15/1960,-43.9
12/15/1960,-40.8
1/15/1961,-38
2/15/1961,-33.2
3/15/1961,-32.8
4/15/1961,-32.4
5/15/1961,-34.8
6/15/1961,-36.9
7/15/1961,-37.8
8/15/1961,-38.8
9/15/1961,-40
10/15/1961,-43.1
11/15/1961,-45.1
12/15/1961,-44.2
1/15/1962,-44.3
2/15/1962,-42.8
3/15/1962,-44.1
4/15/1962,-44.6
5/15/1962,-45.4
6/15/1962,-45.1
7/15/1962,-46.6
8/15/1962,-43.7
9/15/1962,-42.3
10/15/1962,-39.1
11/15/1962,-40.1
12/15/1962,-41.7
1/15/1963,-40.5
2/15/1963,-40.7
3/15/1963,-40.8
4/15/1963,-42.8
5/15/1963,-44.2
6/15/1963,-45.7
7/15/1963,-47
8/15/1963,-48.3
9/15/1963,-45.9
10/15/1963,-47.1
11/15/1963,-45.3
12/15/1963,-50.8
1/15/1964,-55
2/15/1964,-59.3
3/15/1964,-60.2
4/15/1964,-60.7
5/15/1964,-56.2
6/15/1964,-50.8
7/15/1964,-46.8
8/15/1964,-46.6
9/15/1964,-48.5
10/15/1964,-51.3
11/15/1964,-50.8
12/15/1964,-47.7
1/15/1965,-43.3
2/15/1965,-38.8
3/15/1965,-40.8
4/15/1965,-44
5/15/1965,-47.6
6/15/1965,-46.7
7/15/1965,-43.5
8/15/1965,-40
9/15/1965,-36.6
10/15/1965,-38.2
11/15/1965,-38.7
12/15/1965,-40.3
1/15/1966,-40.9
2/15/1966,-42.9
3/15/1966,-45.4
4/15/1966,-47.5
5/15/1966,-48.6
6/15/1966,-48.9
7/15/1966,-47.1
8/15/1966,-46.7
9/15/1966,-46.7
10/15/1966,-48.1
11/15/1966,-51.5
12/15/1966,-49.3
1/15/1967,-50.5
2/15/1967,-50.2
3/15/1967,-52.5
4/15/1967,-50.9
5/15/1967,-49.4
6/15/1967,-44.6
7/15/1967,-44
8/15/1967,-42
9/15/1967,-41.7
10/15/1967,-41
11/15/1967,-40.4
12/15/1967,-40.1
1/15/1968,-39.6
2/15/1968,-42
3/15/1968,-48
4/15/1968,-53
5/15/1968,-56.7
6/15/1968,-55.3
7/15/1968,-50.9
8/15/1968,-43.5
9/15/1968,-39.6
10/15/1968,-36
11/15/1968,-35.7
12/15/1968,-37.4
1/15/1969,-35.8
2/15/1969,-37.2
3/15/1969,-36.2
4/15/1969,-37.4
5/15/1969,-38.6
